,Date,Fire
0,2013-04-12,0
1,2012-04-22,0
2,2010-02-01,0
3,2014-04-28,0
4,2014-03-01,0
5,2017-09-11,0
6,2019-09-18,0
7,2020-10-11,0
8,2014-09-11,0
9,2019-02-14,0
10,2012-10-14,0
11,2013-11-21,0
12,2015-06-07,0
13,2018-03-10,0
14,2018-11-29,0
15,2021-07-22,0
16,2012-01-23,0
17,2018-12-04,0
18,2018-01-13,0
19,2021-04-06,0
20,2016-11-27,0
21,2015-10-24,0
22,2020-12-15,0
23,2017-07-07,0
24,2013-04-10,0
25,2019-01-07,0
26,2013-10-07,0
27,2010-12-19,0
28,2018-05-08,0
29,2020-12-11,0
30,2021-01-13,0
31,2019-02-20,0
32,2017-04-17,0
33,2013-05-07,0
34,2020-08-16,0
35,2015-08-14,0
36,2013-06-11,0
37,2018-05-30,0
38,2017-11-02,0
39,2019-05-03,0
40,2020-11-15,0
41,2012-06-05,0
42,2013-05-16,0
43,2019-04-08,0
44,2011-03-09,0
45,2013-07-25,0
46,2020-08-18,0
47,2012-02-17,0
48,2013-12-29,0
49,2016-12-16,0
50,2011-04-09,0
51,2013-07-06,0
52,2016-11-30,0
53,2011-04-22,0
54,2018-05-06,0
55,2013-08-09,0
56,2018-07-22,0
57,2011-01-04,0
58,2012-01-01,0
59,2010-02-11,0
60,2011-12-04,0
61,2016-07-27,0
62,2017-08-25,0
63,2020-04-09,0
64,2019-05-28,0
65,2010-08-22,0
66,2013-07-10,0
67,2020-12-24,0
68,2015-04-22,0
69,2012-01-18,0
70,2012-05-03,0
71,2021-06-09,0
72,2010-03-12,0
73,2011-09-30,0
74,2016-11-08,0
75,2010-06-01,0
76,2016-03-13,0
77,2012-12-25,0
78,2011-04-26,0
79,2012-11-05,0
80,2013-08-06,0
81,2014-06-07,0
82,2020-11-08,0
83,2016-10-31,0
84,2020-04-03,0
85,2010-01-28,0
86,2014-10-25,0
87,2013-12-01,0
88,2021-07-07,0
89,2020-06-04,0
90,2018-04-12,0
91,2014-09-15,0
92,2016-10-17,0
93,2020-04-08,0
94,2019-02-23,0
95,2013-04-06,0
96,2017-10-17,0
97,2021-10-09,0
98,2016-06-13,0
99,2016-05-29,0
100,2015-06-13,0
101,2018-09-11,0
102,2020-08-06,0
103,2012-11-13,0
104,2013-12-19,0
105,2015-07-03,0
106,2021-06-28,0
107,2021-10-30,0
108,2019-01-13,0
109,2015-07-07,0
110,2020-11-09,0
111,2021-04-04,0
112,2015-12-28,0
113,2013-06-28,0
114,2012-06-06,0
115,2013-05-30,0
116,2016-03-24,0
117,2016-07-20,0
118,2019-09-29,0
119,2012-10-04,0
120,2019-05-10,0
121,2021-05-14,0
122,2014-01-08,0
123,2015-01-16,0
124,2020-08-17,0
125,2011-01-08,0
126,2012-09-18,0
127,2016-02-29,0
128,2016-05-13,0
129,2010-10-18,0
130,2018-05-31,0
131,2010-09-21,0
132,2011-06-02,0
133,2016-11-15,0
134,2010-01-25,0
135,2013-04-01,0
136,2020-12-01,0
137,2011-11-18,0
138,2020-09-03,0
139,2017-02-28,0
140,2010-10-02,0
141,2012-06-29,0
142,2010-07-15,0
143,2021-07-17,0
144,2016-04-06,0
145,2019-09-20,0
146,2011-01-18,0
147,2021-05-07,0
148,2013-04-30,0
149,2021-03-17,0
150,2016-11-20,0
151,2011-01-10,0
152,2012-07-19,0
153,2016-09-30,0
154,2013-11-28,0
155,2012-12-08,0
156,2013-08-19,0
157,2015-11-17,0
158,2021-06-14,0
159,2021-11-09,0
160,2017-05-31,0
161,2020-02-16,0
162,2018-09-04,0
163,2020-03-25,0
164,2011-04-21,0
165,2012-12-23,0
166,2012-09-19,0
167,2013-08-15,0
168,2018-12-01,0
169,2020-02-14,0
170,2013-09-07,0
171,2020-09-09,0
172,2012-06-21,0
173,2013-05-03,0
174,2015-10-22,0
175,2014-02-07,0
176,2020-06-20,0
177,2021-05-22,0
178,2016-02-26,0
179,2021-10-23,0
180,2020-06-13,0
181,2012-01-20,0
182,2014-03-26,0
183,2014-05-13,0
184,2019-12-18,0
185,2011-04-11,0
186,2016-09-06,0
187,2015-12-17,0
188,2017-04-18,0
189,2019-04-05,0
190,2020-02-29,0
191,2015-11-06,0
192,2019-10-20,0
193,2014-06-11,0
194,2020-12-20,0
195,2011-06-01,0
196,2019-03-26,0
197,2016-07-29,0
198,2016-03-07,0
199,2021-02-22,0
200,2016-01-08,0
201,2021-12-16,0
202,2012-05-27,0
203,2014-02-11,0
204,2010-11-03,0
205,2019-12-06,0
206,2017-12-15,0
207,2016-06-02,0
208,2011-08-27,0
209,2017-05-06,0
210,2019-07-22,0
211,2018-02-08,0
212,2017-05-29,0
213,2021-11-06,0
214,2016-05-04,0
215,2016-07-14,0
216,2012-05-04,0
217,2019-01-27,0
218,2021-06-29,0
219,2016-03-22,0
220,2012-12-21,0
221,2019-06-22,0
222,2020-05-13,0
223,2018-06-26,0
224,2020-12-17,0
225,2021-10-17,0
226,2017-06-18,0
227,2017-10-27,0
228,2015-08-08,0
229,2015-03-15,0
230,2016-07-13,0
231,2019-01-10,0
232,2014-09-18,0
233,2017-08-07,0
234,2014-11-01,0
235,2021-03-03,0
236,2019-05-08,0
237,2010-02-25,0
238,2014-08-21,0
239,2017-05-05,0
240,2018-02-04,0
241,2016-08-28,0
242,2019-10-17,0
243,2010-04-10,0
244,2010-07-11,0
245,2019-05-11,0
246,2020-03-09,0
247,2017-08-26,0
248,2016-10-15,0
249,2020-08-14,0
250,2013-01-20,0
251,2019-11-16,0
252,2010-10-19,0
253,2021-11-25,0
254,2018-12-31,0
255,2013-03-30,0
256,2015-09-21,0
257,2020-06-24,0
258,2016-06-10,0
259,2018-01-21,0
260,2014-09-20,0
261,2020-02-15,0
262,2020-06-22,0
263,2018-12-20,0
264,2020-01-26,0
265,2011-08-26,0
266,2014-12-18,0
267,2010-09-04,0
268,2017-05-19,0
269,2019-09-17,0
270,2017-03-28,0
271,2010-10-06,0
272,2015-10-07,0
273,2017-03-30,0
274,2011-11-30,0
275,2011-07-19,0
276,2011-03-23,0
277,2015-04-10,0
278,2017-04-06,0
279,2019-04-24,0
280,2016-08-27,0
281,2011-04-25,0
282,2017-09-08,0
283,2010-11-20,0
284,2010-07-14,0
285,2010-01-18,0
286,2010-05-13,0
287,2019-02-08,0
288,2010-03-08,0
289,2011-05-25,0
290,2012-09-09,0
291,2020-08-28,0
292,2014-02-16,0
293,2015-06-09,0
294,2017-09-09,0
295,2021-03-18,0
296,2017-07-31,0
297,2011-01-09,0
298,2016-01-23,0
299,2013-11-05,0
300,2015-03-07,0
301,2018-04-30,0
302,2021-07-13,0
303,2011-11-10,0
304,2018-02-14,0
305,2019-01-28,0
306,2016-02-17,0
307,2016-06-29,0
308,2020-08-15,0
309,2016-09-02,0
310,2021-03-12,0
311,2013-07-23,0
312,2011-09-20,0
313,2014-07-08,0
314,2010-12-12,0
315,2012-03-31,0
316,2012-05-17,0
317,2013-02-21,0
318,2020-04-02,0
319,2013-07-21,0
320,2020-03-03,0
321,2010-10-24,0
322,2019-10-31,0
323,2012-01-05,0
324,2011-08-02,0
325,2014-01-07,0
326,2017-10-23,0
327,2016-11-22,0
328,2018-10-15,0
329,2010-12-21,0
330,2015-11-21,0
331,2019-02-21,0
332,2019-08-21,0
333,2013-10-29,0
334,2018-10-26,0
335,2017-08-17,0
336,2015-06-15,0
337,2015-06-24,0
338,2021-10-16,0
339,2010-11-14,0
340,2018-03-19,0
341,2013-02-18,0
342,2010-07-22,0
343,2015-05-15,0
344,2020-11-22,0
345,2010-03-23,0
346,2011-02-03,0
347,2013-04-22,0
348,2020-11-11,0
349,2011-02-12,0
350,2013-11-15,0
351,2013-02-03,0
352,2019-10-29,0
353,2016-05-23,0
354,2016-03-30,0
355,2019-07-04,0
356,2016-07-22,0
357,2010-10-14,0
358,2014-02-02,0
359,2021-09-29,0
360,2011-12-17,0
361,2017-04-28,0
362,2018-02-28,0
363,2020-05-27,0
364,2013-01-11,0
365,2012-10-26,0
366,2011-10-15,0
367,2013-12-14,0
368,2015-03-26,0
369,2016-05-14,0
370,2020-05-19,0
371,2010-05-26,0
372,2020-11-10,0
373,2021-10-03,0
374,2015-03-16,0
375,2015-11-09,0
376,2015-11-29,0
377,2019-07-25,0
378,2011-02-26,0
379,2021-07-12,0
380,2018-03-24,0
381,2019-05-09,0
382,2019-05-17,0
383,2014-04-08,0
384,2012-10-05,0
385,2019-04-01,0
386,2014-01-06,0
387,2016-02-16,0
388,2020-06-29,0
389,2013-04-28,0
390,2013-02-23,0
391,2014-02-09,0
392,2017-02-16,0
393,2019-07-14,0
